mart_1.id,mart_1.price,mart_1.district,mart_1.rooms,mart_1.total_area,mart_1.current_floor,mart_1.max_floor,mart_1.build_year,mart_1.bath,mart_1.repair,mart_1.window_type,mart_1.places_total
2723,10100000,Южное Медведково,1.0,,3,14,2006.0,1 раздельный,Косметический,На улицу,2
2728,10300000,Чертаново Южное,1.0,,12,27,2022.0,1 совмещенный,Косметический,На улицу,0
2732,10000000,Нагатинский затон,1.0,,3,5,1964.0,1 совмещенный, 1 раздельный,Косметический,1
2741,10400000,Внуковское поселение,1.0,39.0,4,19,2016.0,1 совмещенный,Косметический,Во двор,0
2747,10000000,Марьино,1.0,42.0,12,24,2002.0,1 совмещенный,,,0
2756,10500000,Кунцево,1.0,,12,16,1987.0,1 совмещенный,Без ремонта,Во двор,0
2760,10300000,Ясенево,1.0,,9,9,1977.0,1 совмещенный,Евроремонт,Во двор,0
2778,10400000,Марфино,1.0,,5,5,1961.0,1 совмещенный,Дизайнерский,Во двор,0
2781,10000000,Нижегородский,1.0,36.0,3,9,1963.0,1 совмещенный,,Во двор,0
2782,10300000,Бескудниковский,1.0,,5,12,1966.0,1 совмещенный,,,1
2791,10000000,Бабушкинский,1.0,35.0,8,16,1991.0,1 совмещенный,Косметический,Во двор,0
2793,10300000,Алексеевский,1.0,33.0,8,9,1962.0,,,,1
2822,10500000,Солнцево,1.0,,22,23,,1 совмещенный,Без ремонта,Во двор,0
