id,address,places
25013,Москва СЗАО р-н Куркино Воротынская ул. 14,0
19189,Москва СЗАО р-н Строгино ул. Твардовского 19К1,0
18056,Москва НАО (Новомосковский) Десеновское поселение ул. 3-я Нововатутинская 2,0
18073,Москва СЗАО р-н Строгино ул. Исаковского 14К2,0
2963,Москва НАО (Новомосковский) Внуковское поселение бул. Андрея Тарковского 9,0
20327,Москва ЗАО р-н Солнцево Производственная ул. 8к1,0
24136,Москва ЗАО р-н Дорогомилово наб. Тараса Шевченко 3К3,1
24330,Москва ЦАО р-н Хамовники 1-я Фрунзенская ул. 6,1
3169,Москва ЮВАО р-н Лефортово Волочаевская ул. 8,0
2723,Москва СВАО р-н Южное Медведково Полярная ул. 2К1,2
20777,Москва ВАО р-н Ивановское ш. Энтузиастов 53,0
12084,Москва ЮАО р-н Даниловский Даниловская наб. 2к2,0
8619,Москва ЮЗАО р-н Зюзино Сивашская ул. 6К1,0
19598,Москва ЦАО р-н Басманный Бауманская ул. 62-66,4
8933,Москва САО р-н Войковский 2-я Радиаторская ул. 12,0
3217,Москва СЗАО р-н Митино ул. Барышиха 13,0
2782,Москва САО р-н Бескудниковский Дмитровское ш. 64К3,1
1733,Москва ЮВАО р-н Некрасовка ул. Вертолетчиков 4к3,0
14214,Москва САО р-н Дмитровский Дмитровское ш. 107к3,1
11576,Москва СВАО р-н Бутырский ул. Добролюбова 19А,0
3725,Москва СЗАО р-н Хорошево-Мневники ул. Демьяна Бедного 19К2,0
10241,Москва ЮАО р-н Даниловский 2-й Павелецкий проезд 6,0
11933,Москва ЗАО р-н Проспект Вернадского ул. Удальцова 45,0
16206,Москва ЦАО р-н Хамовники 3-я Фрунзенская ул. 6,1
4715,Москва ЮЗАО р-н Зюзино Перекопская ул. 3,0
1707,Москва ЗАО р-н Можайский Беловежская ул. 47,0
16735,Москва ЦАО р-н Пресненский Мукомольный проезд 4АС1,1
5220,Москва ТАО (Троицкий) Новофедоровское поселение ул. Генерала Донскова 27к2,0
23098,Москва САО р-н Хорошевский ул. Авиаконструктора Сухого 2к2,1
10367,Москва ЮЗАО р-н Черемушки Профсоюзная ул. 31К3,0
9030,Москва ЮЗАО р-н Южное Бутово ул. Адмирала Лазарева 64,0
4763,Москва ТАО (Троицкий) Новофедоровское поселение ул. Десятинная 7,0
19847,Москва ЗАО р-н Раменки Мичуринский просп. 54К3,0
27605,Москва САО р-н Хорошевский Чапаевский пер. 3,2
18146,Москва ЮАО р-н Орехово-Борисово Южное Гурьевский проезд 15К2,0
25990,Москва ЦАО р-н Тверской 2-й Щемиловский пер. 8-10кб,1
24945,Москва ЗАО р-н Раменки ул. Лобачевского 124к2,0
15410,Москва СВАО р-н Алексеевский просп. Мира 118,2
2642,Москва ЮАО р-н Чертаново Южное ул. Газопровод 3К1,0
21949,Москва ЦАО р-н Таганский Краснохолмская наб. 11С1,1
22253,Москва ЮАО р-н Даниловский просп. Лихачева 12к2,1
9203,Москва СВАО р-н Бибирево ул. Плещеева 1,0
5894,Москва ЮЗАО р-н Южное Бутово ул. Брусилова 27к3,1
26736,Москва ЗАО р-н Фили-Давыдково Звенигородская ул. 8К1,0
7869,Москва ЮЗАО р-н Котловка Нагорный бул. 18,0
6367,Москва ВАО р-н Богородское бул. Маршала Рокоссовского 20/18С1,0
11718,Москва ЗАО р-н Фили-Давыдково Большая Филевская ул. 45К2,0
11005,Москва ЮВАО р-н Нижегородский Орехово-Зуевский проезд 10,0
2395,Москва САО р-н Головинский 3-й Лихачевский пер. 1К2,0
7269,Москва ЗАО р-н Солнцево Волынская ул. 3,0
23058,Москва ЗАО р-н Филевский парк Багратионовский проезд 5Ак1,1
21223,Москва ЦАО р-н Красносельский 2-й Красносельский пер. 2,2
8027,Москва ЮЗАО р-н Теплый Стан ул. Генерала Тюленева 9,0
13888,Москва СЗАО р-н Хорошево-Мневники Шелепихинская наб. 42к3,0
17537,Москва ЮАО р-н Орехово-Борисово Северное Ореховый бул. 25,0
12886,Москва ВАО р-н Ивановское ш. Энтузиастов 55,0
23727,Москва ЦАО р-н Тверской 2-я Тверская-Ямская ул. 28,5
12967,Москва ЗАО р-н Раменки ул. Лобачевского 120к1,0
9239,Москва ЗАО р-н Солнцево ул. 50 лет Октября 29,0
4382,Москва ЮАО р-н Нагорный Электролитный проезд 16к2,0
7762,Москва НАО (Новомосковский) Десеновское поселение ул. 3-я Нововатутинская 11,0
27836,Москва СЗАО р-н Покровское-Стрешнево Береговая ул. 4К5,0
22181,Москва СВАО р-н Марфино Большая Марфинская ул. 1к2,1
7175,Москва ЮАО р-н Чертаново Южное ул. Подольских Курсантов 2к1,0
22963,Москва ЮЗАО р-н Коньково Профсоюзная ул. 104,4
27200,Москва ЗАО р-н Раменки Ломоносовский просп. 25к3,1
18524,Москва ЗАО р-н Кунцево № 100 квартал 1к1,0
7548,Москва ЮЗАО р-н Южное Бутово ул. Адмирала Лазарева 72,0
3043,Москва ЮВАО р-н Люблино Люблинская ул. 80к4,0
25673,Москва ЗАО р-н Раменки Мосфильмовская ул. 70к1,0
10247,Москва ЮВАО р-н Некрасовка ул. Сочинская 8,0
3450,Москва НАО (Новомосковский) Московский поселение ул. Родниковая 30к2,5
9615,Москва ЮЗАО р-н Черемушки Перекопская ул. 24,0
18606,Москва НАО (Новомосковский) Московский поселение Румянцево деревня ул. Садовая 85,0
5025,Москва НАО (Новомосковский) Филимонковское поселение Марьино поселок бул. Светлый 10/2,3
3294,Москва ЮВАО р-н Южнопортовый ул. Симоновский Вал 13К1,0
12418,Москва ЦАО р-н Таганский Волгоградский просп. 6,1
8807,Москва ЮВАО р-н Некрасовка ул. Маршала Еременко 5к5,0
7658,Москва ЗелАО р-н Савёлки Зеленоград мкр. 3-й к360,0
3301,Москва ЗАО р-н Раменки ул. Лобачевского 124к1,0
90,Москва НАО (Новомосковский) Рязановское поселение ш. Остафьевское 14к2,0
4158,Москва ЦАО р-н Хамовники ул. Усачева 15А,0
21153,Москва САО р-н Тимирязевский Дмитровский проезд 1,1
7099,Москва САО р-н Левобережный Смольная ул. 63,0
2728,Москва ЮАО р-н Чертаново Южное Варшавское ш. 170Ек8,0
25079,Москва СВАО р-н Северное Медведково Широкая ул. 9К1,1
25750,Москва СЗАО р-н Хорошево-Мневники Шелепихинская наб. 34к3,2
23127,Москва САО р-н Хорошевский ул. Куусинена 21А,0
26592,Москва САО р-н Аэропорт Ленинградский просп. 66К2,3
26130,Москва СВАО р-н Ростокино просп. Мира 188Бк1,1
10656,Москва ЗАО р-н Очаково-Матвеевское Озерная ул. 38,0
15905,Москва ЦАО р-н Хамовники Трубецкая ул. 12,15
18533,Москва ЮАО р-н Нагатинский затон Судостроительная ул. 38К2,0
7910,Москва САО р-н Савеловский Башиловская ул. 3К2,0
4456,Москва ЦАО р-н Пресненский Большая Грузинская ул. 42,4
15096,Москва СВАО р-н Ярославский ул. Красная Сосна 3А,0
3750,Москва ЗАО р-н Солнцево Боровское ш. 2Ак4,0
18552,Москва ЗАО р-н Очаково-Матвеевское Озерная ул. 19К2,0
303,Москва ЮЗАО р-н Зюзино ул. Каховка 3К2,0
25804,Москва САО р-н Сокол ул. Врубеля 8,0
17365,Москва ВАО р-н Вешняки Кетчерская ул. 8К2,0
26121,Москва ЗАО р-н Проспект Вернадского ул. Лобачевского 92К3,0
22649,Москва СВАО р-н Бутырский Новодмитровская ул. 2к5,5
27844,Москва ЮАО р-н Даниловский просп. Лихачева 10к1,2
10400,Москва ЮВАО р-н Люблино Совхозная ул. 4К3,0
10642,Москва САО р-н Савеловский ул. Нижняя Масловка 20,1
14806,Москва СВАО р-н Лосиноостровский ул. Коминтерна 15,0
19352,Москва ЮАО р-н Москворечье-Сабурово Пролетарский просп. 21/24,0
20414,Москва ЗАО р-н Ново-Переделкино Чоботовская ул. 2к3,0
9741,Москва ЮВАО р-н Марьино Люблинская ул. 124,1
28948,Москва ЦАО р-н Хамовники Комсомольский просп. 32К2,5
15979,Москва ЮАО р-н Донской Ленинский просп. 30,0
23148,Москва ЗАО р-н Очаково-Матвеевское Староволынская ул. 12к5,0
17316,Москва ТАО (Троицкий) Новофедоровское поселение ул. Борисоглебская Слобода 6к2,0
9065,Москва ЮАО р-н Даниловский Дубининская ул. 65К1,0
8638,Москва ЮВАО р-н Некрасовка ул. Вертолетчиков 5к1,0
9356,Москва ВАО р-н Северное Измайлово 16-я Парковая ул. 45,0
9554,Москва СЗАО р-н Митино Северо-Западный административный округ Митинский Лес жилой комплекс 15,0
12722,Москва САО р-н Сокол Ленинградский просп. 77К1,2
7317,Москва НАО (Новомосковский) Десеновское поселение ул. Кварцевая 3к2,0
24524,Москва СВАО р-н Отрадное Каргопольская ул. 12,0
7119,Москва ЗАО р-н Можайский ул. Багрицкого 1,0
93,Москва НАО (Новомосковский) Десеновское поселение ул. 3-я Нововатутинская 4,0
14094,Москва ЮВАО р-н Южнопортовый ул. 1-я Машиностроения 10,0
2698,Москва ВАО р-н Восточное Измайлово Нижняя Первомайская ул. 41,2
10096,Москва ЮАО р-н Чертаново Северное Варшавское ш. 122,0
21940,Москва ЗАО р-н Фили-Давыдково Кастанаевская ул. 66,0
25204,Москва ЮВАО р-н Лефортово Авиамоторная ул. 34К2,0
998,Москва НАО (Новомосковский) Филимонковское поселение ул. Золотошвейная 7,0
13893,Москва ВАО р-н Соколиная гора просп. Буденного 30/8,0
25984,Москва САО р-н Хорошевский проезд Березовой Рощи 10,1
12844,Москва САО р-н Аэропорт Ленинградский просп. 48,1
26049,Москва ЗАО р-н Можайский Можайское ш. 2,0
24215,Москва ЮЗАО р-н Ломоносовский ул. Крупской 1,0
24402,Москва ЗАО р-н Раменки Мичуринский просп. 21К2,0
1720,Москва НАО (Новомосковский) Сосенское поселение просп. Куприна 32к2,0
