mart_3.id,mart_3.price,mart_3.district,mart_3.rooms,mart_3.total_area,mart_3.current_floor,mart_3.max_floor,mart_3.build_year,mart_3.bath,mart_3.repair,mart_3.window_type
254,4510000.0,Северное Бутово,,,2.0,17.0,1994.0,1 совмещенный,Косметический,
255,4500000.0,Старое Крюково,,,3.0,9.0,,1 совмещенный,Косметический,Во двор
256,4450000.0,Некрасовка,,15.0,2.0,17.0,2018.0,1 совмещенный,Евроремонт,На улицу
257,4550000.0,Измайлово,,17.0,1.0,5.0,1958.0,1 совмещенный,Косметический,
258,4350000.0,Южное Бутово,,,2.0,14.0,1996.0,1 совмещенный,Косметический,Во двор
259,4400000.0,Ясенево,,,1.0,9.0,1976.0,1 совмещенный,Евроремонт,Во двор
260,4450000.0,Сокол,,,1.0,10.0,1955.0,,Косметический,Во двор
261,4700000.0,Южное Бутово,,,2.0,14.0,1996.0,1 раздельный,Евроремонт,
262,4550000.0,Измайлово,,18.0,1.0,5.0,1958.0,1 совмещенный,Косметический,
263,4650000.0,Орехово-Борисово Северное,,,1.0,12.0,1975.0,1 совмещенный,Косметический,Во двор
264,4690000.0,Строгино,,,1.0,9.0,1979.0,1 совмещенный,Косметический,Во двор
265,4600000.0,Строгино,,,1.0,9.0,1979.0,1 совмещенный,Косметический,На улицу
266,4550000.0,Ростокино,,19.0,1.0,5.0,1956.0,1 совмещенный,Евроремонт,Во двор
267,4550000.0,Ново-Переделкино,,,1.0,17.0,1990.0,1 совмещенный,Евроремонт,Во двор
268,4650000.0,Южное Бутово,,,2.0,14.0,1996.0,1 совмещенный,Евроремонт,Во двор
269,4550000.0,Вешняки,,,1.0,9.0,1970.0,1 совмещенный,Евроремонт,Во двор
270,4850000.0,Преображенское,,17.0,1.0,5.0,1966.0,,Косметический,
271,4790000.0,Некрасовка,,22.0,2.0,27.0,2016.0,,Косметический,На улицу
272,4800000.0,Бирюлево Восточное,,17.0,2.0,11.0,2019.0,1 совмещенный,Евроремонт,Во двор
